strain	virus	date	country	division	location	host_type	length	lineage	authors	source
MT510057.1	Influenza A virus	2019-05-09	China			Mustela lutreola	1701	6B.1A	Liu,J.	ncbi
MN559742.1	Influenza A virus	2019-01-15	China			Homo sapiens	1752	6B.1A.5a	Qu,z., Lu,b., Wang,y., Zhu,z.	ncbi
MT102468.1	Influenza A virus	2019-02-14	China			Homo sapiens	1701	6B.1A.5a	Wang,X.G., Ye,L., Ye,B.F.	ncbi
MT102474.1	Influenza A virus	2019-03-21	China			Homo sapiens	1701	6B.1A.5a	Wang,X.G., Ye,L., Ye,B.F.	ncbi
PZ152173.1	Influenza A virus	2019-03-11	China			Homo sapiens	1650	6B.1A.5a	Wan,Y.	ncbi
OR432633.1	Influenza A virus	2019-02-28	China			Homo sapiens	1701	6B.1A	Pei,Y., Zhang,Y.	ncbi
PZ152177.1	Influenza A virus	2019-05-13	China			Homo sapiens	1650	6B.1A.1	Wan,Y.	ncbi
PZ152172.1	Influenza A virus	2019-04-22	China			Homo sapiens	1650	6B.1A.5a	Wan,Y.	ncbi
PZ152175.1	Influenza A virus	2019-02-25	China			Homo sapiens	1650	6B.1A.5a	Wan,Y.	ncbi
OP704144.1	Influenza A virus	2019-12-26	China			Homo sapiens	1701	6B.1A.5a.1	Gao,Y., Liu,D., Yang,Y.	ncbi
MT102465.1	Influenza A virus	2019-02-01	China			Homo sapiens	1701	6B.1A.5a	Wang,X.G., Ye,L., Ye,B.F.	ncbi
OP721079.1	Influenza A virus	2019-12-26	China			Homo sapiens	1701	6B.1A.5a.1	Gao,Y., Liu,D., Yang,Y.	ncbi
OR517299.1	Influenza A virus	2023-02-28	China			Homo sapiens	1701	6B.1A.5a.2a	Dai,Y.Z., Cheng,J.	ncbi
OR517298.1	Influenza A virus	2023-02-28	China			Homo sapiens	1701	6B.1A.5a.2a	Dai,Y.Z., Cheng,J.	ncbi
PZ152181.1	Influenza A virus	2023-05-08	China			Homo sapiens	1650	6B.1A.5a.2a	Wan,Y.	ncbi
OR517293.1	Influenza A virus	2023-03-01	China			Homo sapiens	1701	6B.1A.5a.2a	Dai,Y.Z., Cheng,J.	ncbi
PQ641852.1	Influenza A virus	2023-04-12	China			Homo sapiens	1701	6B.1A.5a.2a	Li,Y.	ncbi
PQ641772.1	Influenza A virus	2023-03-01	China			Homo sapiens	1701	6B.1A.5a.2a	Li,Y.	ncbi
OR752154.1	Influenza A virus	2023-04-04	China			Homo sapiens	1752	6B.1A.5a.2a	Xu,D.	ncbi
PQ641756.1	Influenza A virus	2023-03-01	China			Homo sapiens	1701	6B.1A.5a.2a	Li,Y.	ncbi
PQ641820.1	Influenza A virus	2023-03-22	China			Homo sapiens	1701	6B.1A.5a.2a	Li,Y.	ncbi
PZ152185.1	Influenza A virus	2023-03-15	China			Homo sapiens	1650	6B.1A.5a.2a	Wan,Y.	ncbi
OR752242.1	Influenza A virus	2023-03-20	China			Homo sapiens	1752	6B.1A.5a.2a	Xu,D.	ncbi
OR752194.1	Influenza A virus	2023-05-02	China			Homo sapiens	1752	6B.1A.5a.2a	Xu,D.	ncbi
OR752218.1	Influenza A virus	2023-03-27	China			Homo sapiens	1752	6B.1A.5a.2a	Xu,D.	ncbi
OR752130.1	Influenza A virus	2023-03-06	China			Homo sapiens	1752	6B.1A.5a.2a	Xu,D.	ncbi
OR517296.1	Influenza A virus	2023-02-26	China			Homo sapiens	1701	6B.1A.5a.2a	Dai,Y.Z., Cheng,J.	ncbi
PV147356.1	Influenza A virus	2024-12-20	China			Homo sapiens	1701	6B.1A.5a.2a	Yang,Y., Yan,Z., Guo,J., Huang,S., Wen,F.	ncbi
PV344453.1	Influenza A virus	2025-01-15	China			Homo sapiens	1752	6B.1A.5a.2a	Yuanyuan,P.	ncbi
MH997691.1	Influenza A virus	2015-09-18	Colombia			Sus scrofa	1714	6	Florez,J.M., Ramirez-Nieto,G.C.	ncbi
MH997695.1	Influenza A virus	2015-09-11	Colombia			Sus scrofa	1714	1	Florez,J.M., Ramirez,G.C.	ncbi
MH997699.1	Influenza A virus	2015-09-24	Colombia			Sus scrofa	1714	1	Florez,J.M., Ramirez,G.C.	ncbi
MH997703.1	Influenza A virus	2015-10-07	Colombia			Sus scrofa	1714	1	Florez,J.M., Ramirez,G.C.	ncbi
MH997707.1	Influenza A virus	2015-09-24	Colombia			Sus scrofa	1714	1	Florez,J.M., Ramirez,G.C.	ncbi
CY207045.1	Influenza A virus (A/swine/Colombia/M1484/2015(H1N1))	2015-05-06	Colombia			Sus scrofa	1755	6	Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Ciuoderis,K.A., Osorio,J.E., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Schultz-Cherry,S.	ncbi
KU558983.1	Influenza A virus (A/Czech Republic/95/2015(H1N1))	2015-10-26	Czech Republic			Homo sapiens	1730	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KU761513.1	Influenza A virus (A/Czech Republic/5/2016(H1N1))	2016-01-21	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KU761516.1	Influenza A virus (A/Czech Republic/6/2016(H1N1))	2016-01-25	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KU761525.1	Influenza A virus (A/Czech Republic/9/2016(H1N1))	2016-01-26	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX254944.1	Influenza A virus (A/Czech Republic/86/2016(H1N1))	2016-03-03	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX237698.1	Influenza A virus (A/Czech Republic/17/2016(H1N1))	2016-02-01	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX014870.1	Influenza A virus (A/Czech Republic/24/2016(H1N1))	2016-02-03	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX014858.1	Influenza A virus (A/Czech Republic/15/2016(H1N1))	2016-02-01	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX254950.1	Influenza A virus (A/Czech Republic/81/2016(H1N1))	2016-03-09	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX014861.1	Influenza A virus (A/Czech Republic/16/2016(H1N1))	2016-02-01	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX014852.1	Influenza A virus (A/Czech Republic/12/2016(H1N1))	2016-01-29	Czech Republic			Homo sapiens	1758	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX237704.1	Influenza A virus (A/Czech Republic/26/2016(H1N1))	2016-02-05	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX237710.1	Influenza A virus (A/Czech Republic/71a/2016(H1N1))	2016-02-12	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX254956.1	Influenza A virus (A/Czech Republic/89/2016(H1N1))	2016-03-17	Czech Republic			Homo sapiens	1743	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX237707.1	Influenza A virus (A/Czech Republic/66/2016(H1N1))	2016-02-09	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
KX237695.1	Influenza A virus (A/Czech Republic/13/2016(H1N1))	2016-01-29	Czech Republic			Homo sapiens	1744	6B.1	Nagy,A., Jirincova,H., Havlickova,M.	ncbi
PQ193138.1	Influenza A virus	2015-10-09	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193162.1	Influenza A virus	2015-10-15	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192831.1	Influenza A virus	2015-04-23	Denmark			Sus scrofa	1701	6B	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193154.1	Influenza A virus	2015-10-15	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193226.1	Influenza A virus	2015-04-17	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192821.1	Influenza A virus	2015-11-16	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193298.1	Influenza A virus	2015-05-29	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193186.1	Influenza A virus	2015-02-27	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193170.1	Influenza A virus	2015-11-13	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193202.1	Influenza A virus	2015-03-16	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192838.1	Influenza A virus	2015-06-04	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193282.1	Influenza A virus	2015-05-26	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193114.1	Influenza A virus	2015-08-25	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193090.1	Influenza A virus	2015-07-16	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193194.1	Influenza A virus	2015-03-02	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193314.1	Influenza A virus	2016-01-29	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193322.1	Influenza A virus	2016-10-18	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193330.1	Influenza A virus	2016-02-11	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193338.1	Influenza A virus	2016-11-08	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193354.1	Influenza A virus	2016-01-14	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193362.1	Influenza A virus	2016-12-20	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193370.1	Influenza A virus	2016-03-04	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193378.1	Influenza A virus	2016-03-08	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193386.1	Influenza A virus	2016-01-22	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193394.1	Influenza A virus	2016-04-06	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193410.1	Influenza A virus	2016-06-17	Denmark			Sus scrofa	1701	6B.1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192852.1	Influenza A virus	2017-01-12	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193418.1	Influenza A virus	2017-08-24	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193426.1	Influenza A virus	2017-02-16	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193434.1	Influenza A virus	2017-02-20	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193442.1	Influenza A virus	2017-02-21	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193458.1	Influenza A virus	2017-04-10	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193474.1	Influenza A virus	2017-06-16	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193482.1	Influenza A virus	2017-06-27	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193490.1	Influenza A virus	2017-06-28	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192871.1	Influenza A virus	2018-11-21	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192878.1	Influenza A virus	2018-03-28	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193498.1	Influenza A virus	2018-07-18	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193506.1	Influenza A virus	2018-07-18	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193522.1	Influenza A virus	2018-08-28	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193530.1	Influenza A virus	2018-09-13	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193538.1	Influenza A virus	2018-10-03	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193546.1	Influenza A virus	2018-10-31	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193562.1	Influenza A virus	2018-11-12	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193570.1	Influenza A virus	2018-03-06	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193578.1	Influenza A virus	2018-04-10	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193586.1	Influenza A virus	2018-04-12	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193594.1	Influenza A virus	2018-05-01	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193602.1	Influenza A virus	2018-05-22	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193610.1	Influenza A virus	2018-07-10	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192892.1	Influenza A virus	2019-01-29	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193642.1	Influenza A virus	2019-08-23	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193650.1	Influenza A virus	2019-10-08	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193658.1	Influenza A virus	2019-01-08	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192906.1	Influenza A virus	2020-06-26	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ192914.1	Influenza A virus	2020-07-27	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193682.1	Influenza A virus	2020-01-10	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193690.1	Influenza A virus	2020-02-20	Denmark			Sus scrofa	1701	6B.1A.5a	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193706.1	Influenza A virus	2020-02-25	Denmark			Sus scrofa	1701	6B.1A.1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193746.1	Influenza A virus	2020-04-01	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193754.1	Influenza A virus	2020-04-06	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193762.1	Influenza A virus	2020-04-07	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193770.1	Influenza A virus	2020-04-14	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193786.1	Influenza A virus	2020-04-17	Denmark			Sus scrofa	1701	6B.1A.5a	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193826.1	Influenza A virus	2020-05-29	Denmark			Sus scrofa	1701	1	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
PQ193874.1	Influenza A virus	2020-08-19	Denmark			Sus scrofa	1701	6	Ryt-Hansen,P., Larsen,L.E., George,S.	ncbi
ON716222.1	Influenza A virus	2020-04-03	Denmark			Sus scrofa	1779	1	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
ON716230.1	Influenza A virus	2020-01-10	Denmark			Sus scrofa	1777	6	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
ON716202.1	Influenza A virus	2021-09-17	Denmark			Sus scrofa	1778	1	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
ON716209.1	Influenza A virus	2021-08-27	Denmark			Sus scrofa	1777	1	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
ON716254.1	Influenza A virus	2021-05-14	Denmark			Sus scrofa	1778	1	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
ON716278.1	Influenza A virus	2021-11-23	Denmark			Sus scrofa	1777	1	Andersen,K.M., Vestergaard,L.S., Nissen,J.N., George,S.J., Ryt-Hansen,P., Hjulsager,C.K., Krog,J.S., Skov,M.N., Alexandersen,S., Larsen,L.E., Trebbien,R.	ncbi
MG745919.1	Influenza A virus (A/Egypt/BSU-13/2016(H1N1))	2016-01-03	Egypt			Homo sapiens	1701	6B	Abdel-Moneim,A.S., Soliman,M.S., Kamel,M.M., El-Kholy,A.A.	ncbi
MG745920.1	Influenza A virus (A/Egypt/BSU-15/2016(H1N1))	2016-01-15	Egypt			Homo sapiens	1701	6B.1	Abdel-Moneim,A.S., Soliman,M.S., Kamel,M.M., El-Kholy,A.A.	ncbi
KY241117.1	Influenza A virus (A/swine/France/12-150058/2015(H1N1))	2015-01-22	France			Sus scrofa	1777	6	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Simon,G.	ncbi
KY241119.1	Influenza A virus (A/swine/France/64-150091/2015(H1N1))	2015-02-12	France			Sus scrofa	1777	6	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Simon,G.	ncbi
MH785030.1	Influenza A virus	2015-05-11	France			Sus scrofa	1754	6	Chastagner,A., Simon,G., Herve,S., Queguiner,S., Gorin,S., Barbier,N.	ncbi
MH785062.1	Influenza A virus	2015-01-29	France			Sus scrofa	1761	6	Chastagner,A., Simon,G., Herve,S., Queguiner,S., Gorin,S., Barbier,N.	ncbi
KY364088.1	Influenza A virus (A/swine/France/65-160089/2016(H1N1))	2016-02-01	France			Sus scrofa	1755	6	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Beven,V., Hirchaud,E., Blanchard,Y., Simon,G.	ncbi
KY364104.1	Influenza A virus (A/swine/France/40-160098/2016(H1N1))	2016-01-29	France			Sus scrofa	1777	6	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Beven,V., Hirchaud,E., Blanchard,Y., Simon,G.	ncbi
KY364144.1	Influenza A virus (A/swine/France/12-160129/2016(H1N1))	2016-03-07	France			Sus scrofa	1774	6B.1	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Beven,V., Hirchaud,E., Blanchard,Y., Simon,G.	ncbi
KY364168.1	Influenza A virus (A/swine/France/72-160174/2016(H1N1))	2016-04-22	France			Sus scrofa	1777	6B.1	Bonin,E., Herve,S., Queguiner,S., Gorin,S., Barbier,N., Beven,V., Hirchaud,E., Blanchard,Y., Simon,G.	ncbi
MH785046.1	Influenza A virus	2016-02-16	France			Sus scrofa	1777	6	Chastagner,A., Simon,G., Herve,S., Queguiner,S., Gorin,S., Barbier,N.	ncbi
MH785070.1	Influenza A virus	2016-06-22	France			Sus scrofa	1777	6B.1	Chastagner,A., Simon,G., Herve,S., Queguiner,S., Gorin,S., Barbier,N.	ncbi
MT379014.1	Influenza A virus	2018-01-12	France			Sus scrofa	1752	6B.1A	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MT379038.1	Influenza A virus	2018-03-13	France			Sus scrofa	1752	6B.1A	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MT379398.1	Influenza A virus	2018-02-26	France			Sus scrofa	1752	6B.1A	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MK302145.1	Influenza A virus	2018-01-17	France			Sus scrofa	1701	6B.1A	Chastagner,A., Enouf,V., Peroz,D., Herve,S., Lucas,P., Queguiner,S., Gorin,S., Beven,V., Behillil,S., Leneveu,P., Garin,E., Blanchard,Y., van der Werf,S., Simon,G.	ncbi
MK302778.1	Influenza A virus	2018-01-17	France			Sus scrofa	1701	6B.1A	Chastagner,A., Enouf,V., Peroz,D., Herve,S., Lucas,P., Queguiner,S., Gorin,S., Beven,V., Behillil,S., Leneveu,P., Garin,E., Blanchard,Y., van der Werf,S., Simon,G.	ncbi
MK302806.1	Influenza A virus	2018-01-22	France			Homo sapiens	1701	6B.1A	Chastagner,A., Enouf,V., Peroz,D., Herve,S., Lucas,P., Queguiner,S., Gorin,S., Beven,V., Behillil,S., Leneveu,P., Garin,E., Blanchard,Y., van der Werf,S., Simon,G.	ncbi
MK302814.1	Influenza A virus	2018-01-23	France			Homo sapiens	1701	6B.1A	Chastagner,A., Enouf,V., Peroz,D., Herve,S., Lucas,P., Queguiner,S., Gorin,S., Beven,V., Behillil,S., Leneveu,P., Garin,E., Blanchard,Y., van der Werf,S., Simon,G.	ncbi
MK303330.1	Influenza A virus	2018-01-17	France			Sus scrofa	1701	6B.1A	Chastagner,A., Enouf,V., Peroz,D., Herve,S., Lucas,P., Queguiner,S., Gorin,S., Beven,V., Behillil,S., Leneveu,P., Garin,E., Blanchard,Y., van der Werf,S., Simon,G.	ncbi
MZ088217.1	Influenza A virus	2019-02-06	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088241.1	Influenza A virus	2019-03-12	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088689.1	Influenza A virus	2019-11-26	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088969.1	Influenza A virus	2019-03-01	France			Sus scrofa	1752	6B.1A.7	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ089113.1	Influenza A virus	2019-08-13	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ089241.1	Influenza A virus	2019-02-19	France			Sus scrofa	1752	6B.1A.7	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ089257.1	Influenza A virus	2019-02-11	France			Sus scrofa	1752	6B.1A	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088305.1	Influenza A virus	2020-03-12	France			Sus scrofa	1752	6B.1A.5a.1	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088321.1	Influenza A virus	2020-02-25	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088369.1	Influenza A virus	2020-06-19	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088705.1	Influenza A virus	2020-02-12	France			Sus scrofa	1752	6B.1A.5a	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ088985.1	Influenza A virus	2020-03-05	France			Sus scrofa	1752	6B.1A.5a.1	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
MZ089337.1	Influenza A virus	2020-03-09	France			Sus scrofa	1752	6B.1A.5a.1	Chastagner,A., Queguiner,S., Gorin,S., Barbier,N., Herve,S., Simon,G.	ncbi
PZ060810.1	Influenza A virus	2024-12-19	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060831.1	Influenza A virus	2024-12-23	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060615.1	Influenza A virus	2024-12-12	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060532.1	Influenza A virus	2024-11-20	France			Homo sapiens	1743	6B.1A.5a.2a.1	Regue,H., Bal,A., Josset,L.	ncbi
PZ060698.1	Influenza A virus	2024-12-16	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060606.1	Influenza A virus	2024-12-11	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060629.1	Influenza A virus	2024-12-12	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060510.1	Influenza A virus	2024-11-13	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060540.1	Influenza A virus	2024-11-23	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060857.1	Influenza A virus	2024-12-09	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060554.1	Influenza A virus	2024-12-03	France			Homo sapiens	1743	6B.1A.5a.2a.1	Regue,H., Bal,A., Josset,L.	ncbi
